SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","23","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2074.0000000000000000","11.5000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","*","<3","*","N/A","N/A","N/A","4","17","21","<=20%","<=20%","<=20%","*","N/A","N/A","N/A","<=20%",">=80%","2074.9000000000000000","18.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","*","<3","*","N/A","N/A","N/A","4","19","23","<=20%","<=20%","<=20%","*","N/A","N/A","N/A","<=20%",">=80%","2074.9000000000000000","18.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","*","<3","*","N/A","N/A","N/A","4","19","23","<=20%","<=20%","<=20%","*","N/A","N/A","N/A","<=20%",">=80%","2074.9000000000000000","18.2000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","<3","*","*","N/A","N/A","N/A","<3","*","32","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2067.5000000000000000","8.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students With Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","14","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2066.9000000000000000","9.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","<3","*","N/A","N/A","N/A","<3","*","74","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2063.3000000000000000","13.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","14","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2057.8000000000000000","8.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","74","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2070.0000000000000000","12.1000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","73","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2069.3000000000000000","10.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","42","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2071.8000000000000000","14.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","60","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2070.7000000000000000","12.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","61","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2065.8000000000000000","16.7000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","<3","*","N/A","N/A","N/A","<3","*","72","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2064.6000000000000000","16.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","<3","<3","*","N/A","N/A","N/A","<3","*","74","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2063.3000000000000000","13.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Asian","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","<3","<3","*","N/A","N/A","N/A","<3","*","43","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2068.0000000000000000","18.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","<3","<3","<3","*","N/A","N/A","N/A","<3","*","32","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2059.4000000000000000","9.4000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","<3","<3","*","N/A","N/A","N/A","<3","*","75","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2064.3000000000000000","15.9000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","71","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2069.6000000000000000","12.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","<3","*","*","N/A","N/A","N/A","<3","*","73","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2069.3000000000000000","10.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00032","Osborn High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Asian","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","<3","*","N/A","N/A","N/A","<3","*","19","<=20%","<=20%","<=20%",">=80%","N/A","N/A","N/A","<=20%",">=80%","2070.6000000000000000","14.1000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","<3","<3","*","N/A","N/A","N/A","<3","*","13","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2071.7000000000000000","12.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","13","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2077.2000000000000000","14.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
